mean,max,min,stddev,file,scan_number,subsegment_index,mean_laser_current,bulk
1108.3783783783783,1289.0,856.0,105.81558444238664,layer1.csv,0,0,4508.972972972973,1.0
1390.2428571428572,1585.0,1003.0,104.03144246048001,layer1.csv,1,0,4508.0,1.0
1387.230215827338,1539.0,1099.0,86.30357300195084,layer1.csv,1,1,4508.302158273381,1.0
1477.8618421052631,1674.0,1086.0,85.50177355363557,layer1.csv,2,0,4511.625,1.0
1404.5131578947369,1597.0,1238.0,74.3560059197876,layer1.csv,2,1,4512.934210526316,1.0
1627.328947368421,1854.0,1336.0,98.79709245640447,layer1.csv,3,0,4518.138157894737,1.0
1543.592105263158,1712.0,1317.0,79.85153619317522,layer1.csv,3,1,4522.453947368421,1.0
1528.1503267973856,1657.0,1298.0,64.39814587939362,layer1.csv,4,0,4525.503267973856,1.0
1532.8552631578948,1696.0,1298.0,73.44935669299602,layer1.csv,4,1,4527.625,1.0
1622.2987012987012,1828.0,1228.0,123.43025423554404,layer1.csv,5,0,4518.032467532467,1.0
1527.1633986928105,1651.0,1380.0,54.75213996072622,layer1.csv,5,1,4517.228758169935,1.0
1574.4444444444443,1753.0,1259.0,77.73088222087247,layer1.csv,6,0,4515.254901960784,1.0
1536.862745098039,1728.0,1345.0,66.60850981212943,layer1.csv,6,1,4515.6209150326795,1.0
1639.3376623376623,1841.0,1259.0,96.09216495617063,layer1.csv,7,0,4515.480519480519,1.0
1527.0915032679738,1728.0,1279.0,101.75976833052128,layer1.csv,7,1,4517.666666666667,1.0
1552.6883116883116,1712.0,1206.0,72.35917980701832,layer1.csv,8,0,4517.772727272727,1.0
1589.6363636363637,1810.0,1326.0,132.75838898735222,layer1.csv,8,1,4516.720779220779,1.0
1578.6322580645162,1828.0,1112.0,131.14503271027294,layer1.csv,9,0,4513.509677419355,1.0
1584.2402597402597,1782.0,1421.0,79.29413066787536,layer1.csv,9,1,4514.62987012987,1.0
1516.0451612903225,1696.0,1289.0,84.36604896830463,layer1.csv,10,0,4512.664516129033,1.0
1493.4805194805194,1668.0,1317.0,59.00002429883065,layer1.csv,10,1,4512.785714285715,1.0
1590.525641025641,1763.0,1238.0,80.4033460776759,layer1.csv,11,0,4510.6858974358975,1.0
1582.1096774193547,1792.0,1429.0,81.52344351063334,layer1.csv,11,1,4512.716129032258,1.0
1566.5320512820513,1743.0,1206.0,83.74208113130757,layer1.csv,12,0,4511.647435897436,1.0
1498.9548387096775,1680.0,1317.0,65.58563394381954,layer1.csv,12,1,4513.4,1.0
1610.6089743589744,1748.0,1112.0,89.80602841665865,layer1.csv,13,0,4511.673076923077,1.0
1565.1538461538462,1712.0,1298.0,95.54393229309547,layer1.csv,13,1,4514.0641025641025,1.0
1603.1019108280254,1920.0,1206.0,144.08261009358688,layer1.csv,14,0,4513.91719745223,1.0
1527.6858974358975,1712.0,1354.0,67.98659412417176,layer1.csv,14,1,4516.173076923077,1.0
1604.7898089171974,1763.0,1172.0,95.76098376056666,layer1.csv,15,0,4514.624203821656,1.0
1570.8846153846155,1696.0,1345.0,72.0595339284142,layer1.csv,15,1,4517.025641025641,1.0
1549.2101910828026,1717.0,1161.0,105.5747407451374,layer1.csv,16,0,4517.197452229299,1.0
1494.1783439490446,1634.0,1326.0,71.92835281485856,layer1.csv,16,1,4518.8089171974525,1.0
1671.5696202531647,1810.0,958.0,116.85143478472224,layer1.csv,17,0,4517.189873417721,1.0
1561.0254777070063,1782.0,1421.0,67.63379747639141,layer1.csv,17,1,4518.0,1.0
1584.7911392405063,1777.0,1317.0,99.64068698963001,layer1.csv,18,0,4515.392405063291,1.0
1472.8598726114649,1680.0,1248.0,81.81098758208306,layer1.csv,18,1,4516.866242038216,1.0
1569.5696202531647,1787.0,1137.0,100.33244531755466,layer1.csv,19,0,4515.354430379747,1.0
1554.8417721518988,1733.0,1371.0,74.81052201698913,layer1.csv,19,1,4516.196202531645,1.0
